"Sirop de maïs";115
"Maltose de la bière";110
"Amidons modifiés";100
"Glucose";100
"Sirop de blé, sirop de riz";100
"Sirop de glucose";100
"Farine de riz";95
"Fécule de pomme de terre (amidon)";95
"Galettes de riz soufflé";95
"Maltodextrine";95
"Pommes de terre au four";95
"Pommes de terre frites";95
"Miel";90
"Pain blanc sans gluten";90
"Panais";90
"Pomme de terre en flocons (instantanée)";90
"Riz glutineux, riz agglutinant, riz instantanné";90
"Arro-wroot, herbe aux flèches";85
"Carottes (cuites)";85
"Céleri rave (cuit)";85
"Corn Flakes, flocons de mais";85
"Farine de blé blanche (T45, patisserie)";85
"Gâteau de riz";85
"Lait de riz";85
"Maizena (amidon de maïs)";85
"Navet (cuit)";85
"Pain hamburger";85
"Pain très blanc, pain de mie";85
"Pop corn (sans sucre)";85
"Riz a cuisson rapide (précuit)";85
"Riz soufflé, galettes de riz";85
"Crackers";80
"Fèves";80
"Pain d’épices";80
"Pomme de terre en purée";80
"Tapioca";80
"Courges (diverses)";75
"Doughnuts";75
"Farine de blé (T55, pain blanc)";75
"Farine de riz complète";75
"Gaufre au sucre";75
"Lasagnes (blé tendre)";75
"Pastèque";75
"Potiron";75
"Riz au lait (sucré)";75
"Amarante soufflée";70
"Bagels";70
"Banane plantain (cuite)";70
"Barres chocolatées";70
"Biscottes";70
"Biscuit";70
"Boissons gazeuses, sodas (type Coca-Cola®, Pepsi)";70
"Bouillie de farine de maïs";70
"Brioche";70
"Céréales sucrées";70
"Chips";70
"Croissant";70
"Dattes";70
"Farine Blanche (T65, pain de campagne, tradition)";70
"Farine de maïs";70
"Gnocchi";70
"Maïs";70
"Maïzena";70
"Mélasse";70
"Mil, millet, sorgho";70
"Navets";70
"Nouilles (blé tendre)";70
"Pain azyme (farine blanche)";70
"Pain de riz";70
"Polenta, semoule de maïs";70
"Pommes de terre bouillies (sans peau)";70
"Raviolis (blé tendre)";70
"Risotto";70
"Riz blanc standard ou précuit";70
"Rutabaga, chou-navet";70
"Special K®";70
"Sucre";70
"Tacos";70
"Ananas en boîte";65
"Banane";65
"Barres de chocolats connues";65
"Betterave (cuite)";65
"Confiture standard sucrée";65
"Couscous, semoule";65
"Epeautre (farine raffinée)";65
"Farine de châtaigne/marron";65
"Farine semi complète (T80 pain biologique)";65
"Fèves (cuites)";65
"Fruit à pain, arbre à pain";65
"Fruit au sirop";65
"Gelée de coing (sucrée)";65
"Igname";65
"Jus d’orange industriel";65
"Jus de canne à sucre séché";65
"Maïs courant en grains";65
"Marmelade (sucrée)";65
"Melon";65
"Muesli";65
"Nouilles / vermicelle chinois (riz)";65
"Pain au chocolat (chocolatine)";65
"Pain au seigle (30% de seigle)";65
"Pain bis (Faau levain)";65
"Pain complet";65
"Pâtes de riz intégral";65
"Pomme de terre cuite dans sa peau(eau/vapeur)";65
"Raisins secs";65
"Sirop d’érable";65
"Sorbet (sucré)";65
"Tamarin (doux)";65
"Abricot (boîte, au sirop)";60
"Bananes (mûre)";60
"Barre de céréales";60
"Biscuits";60
"Châtaigne, marron";60
"Crème glacée classique (sucrée)";60
"Farine complète";60
"Lasagnes (blé dur)";60
"Mayonnaise (industrielle, sucrée)";60
"Miel";60
"Orge perlé";60
"Ovomaltine";60
"Pain au lait";60
"Papaye";60
"Pizza";60
"Porridge, bouillie de flocons d'avoine";60
"Poudre chocolatée (sucrée)";60
"Raviolis (blé dur)";60
"Riz de Camargue";60
"Riz long";60
"Riz parfumé (jasmin...)";60
"Semoule de blé dur";60
"Biscuit sec type « Petit beurre »";55
"Biscuits sablés (farine, beurre, sucre)";55
"Boulgour, bulgur (blé, cuit)";55
"Jus de mangue (sans sucre)";55
"Jus de raisin (sans sucre)";55
"Ketchup";55
"Manioc (amer)";55
"Manioc (doux)";55
"Moutarde (avec sucre ajouté)";55
"Nèfle";55
"Nutella®";55
"Papaye (fruit frais)";55
"Pâtes blanches bien cuites";55
"Pêches (boîte, au sirop)";55
"Riz rouge";55
"Sirop de chicorée";55
"Spaghetti blancs bien cuits";55
"Sushi";55
"Tagliatelles (bien cuites)";55
"All Bran™";50
"Barre énergétique de céréale (sans sucre)";50
"Biscuits (farine complète, sans sucre)";50
"Céréales brutes (sans sucre ajoutées)";50
"Chayotte, christophine (purée de)";50
"Couscous/sémoule complète";50
"Flocons d’avoine";50
"Jus d'airelle rouge canneberge (sans sucre)";50
"Jus d'ananas (sans sucre)";50
"Jus de pomme (sans sucre)";50
"Kaki";50
"Kiwi";50
"Litchi (fruit frais)";50
"Litchi frais";50
"Macaronis (blé dur)";50
"Mangue (fruit frais)";50
"Muesli (sans sucre)";50
"Muffin aux pommes";50
"Pain au quinoa (environ 65% de quinoa)";50
"Pain complet (farine T150)";50
"Patate douce";50
"Patates douces";50
"Pâtes complètes (blé entier)";50
"Petits pois en conserve";50
"Riz basmati long";50
"Riz blancs riches en Amylose";50
"Riz complet brun";50
"Sarrazin";50
"Sorbets";50
"Surimi";50
"Topinambour, artichaut de Jérusalem";50
"Wasa léger ™";50
"Airelle rouge, canneberge";45
"Ananas (fruit frais)";45
"Banane (verte)";45
"Banane plantain (crue)";45
"Blé (farine intégrale)";45
"Blé (type Ebly)";45
"Boulgour, bulgur complet (blé, cuit)";45
"Capellini";45
"Céréales complètes (sans sucre)";45
"Confiture (marmelade) sans sucre (jus concentré)";45
"Couscous intégral, semoule integrale";45
"Epeautre (farine intégrale)";45
"Epeautre (pain intégral)";45
"Farine de farro (intégrale)";45
"Farine de kamut (intégrale)";45
"Jus d’orange (sans sucre et pressé)";45
"Jus de pamplemousse (sans sucre)";45
"Noix de coco";45
"Pain au son";45
"Pain de Kamut";45
"Pain grillé, farine intégrale sans sucre";45
"Petits pois (boîte)";45
"Pilpil (de blé)";45
"Porridge";45
"Pumpernickel standard";45
"Raisin (fruit frais)";45
"Raisin frais";45
"Riz basmati complet";45
"Sauce tomate, coulis de tomate (avec sucre)";45
"Seigle (intégral; farine ou pain)";45
"Avoine";40
"Beurre de cacahuète (sans sucre ajouté)";40
"Chicorée (boisson)";40
"Cidre brut";40
"Falafel (fèves)";40
"Farine Complète (T150, pain azyme)";40
"Farine de quinoa";40
"Farro";40
"Fèves (crues)";40
"Figues sèches";40
"Flocons d'avoine (non cuite)";40
"Gelée de coing (sans sucre)";40
"Haricots rouges";40
"Jus de carottes (sans sucre)";40
"Kamut intégral";40
"Lactose";40
"Lait de coco";40
"Pain 100% intégral au levain pur";40
"Pain azyme (farine intégrale)";40
"Pâtes intégrales, al dente";40
"Pâtes intégrales, Spaghetti al dente";40
"Pepino, poire-melon";40
"Poire-melon";40
"Pruneaux";40
"Purée de sésame, tahin";40
"Sablé (farine intégrale, sans sucre)";40
"Sarrasin, blé noir (intégral; farine ou pain)";40
"Sorbet (sans sucre)";40
"Spaghetti al dente (cuits 5 minutes)";40
"Abricots sec";35
"Amarante";35
"Anone chérimole, anone écailleuse, pomme cannelle, corossol";35
"Barre chocolatée (sans sucre)";35
"Brugnons, nectarines (blancs ou jaunes; fruit frais)";35
"Carottes crues";35
"Cassoulet";35
"Céleri rave cru";35
"Coing (fruit frais)";35
"Crème glacée (au fructose)";35
"Falafel";35
"Farine de coco";35
"Farine de pois chiche";35
"Figue";35
"Grenade frais";35
"Haricot adzuki";35
"Haricot borlotti";35
"Haricot marbré (borlotto, borlotti)";35
"Haricots blancs, cannellini";35
"Haricots noirs";35
"Haricots rouges";35
"Jus de tomate";35
"Levure";35
"Levure de bière";35
"Lin, sésame, pavot";35
"Maïs ancestral (indien)";35
"Moutarde";35
"Nectarines (blancs ou jaunes frais)";35
"Oranges (fruit frais)";35
"Pain Essène (de céréales germées)";35
"Pain integral avec haut taux de cendre";35
"Pêches (fruit frais)";35
"Petits pois (frais)";35
"Pois, pois chiches, pois secs";35
"Pomme (compote)";35
"Pomme (fruit frais)";35
"Pomme cannelle";35
"Pomme, prune, pêche, orange";35
"Pommes séchées";35
"Prunes (fruit frais)";35
"Purée d'amandes blanches (sans sucre)";35
"Quinoa";35
"Riz sauvage";35
"Sauce tomate, coulis de tomate (sans sucre)";35
"Tomates séchées";35
"Tomates séchées, jus de tomate";35
"Tournesol (graines)";35
"Vermicelle de blé dur";35
"Wasa™ fibre (24%)";35
"Yaourt au soja (aromatisé)";35
"Yaourt, yoghourt, yogourt (nature)";35
"Yaourt, yogourt nature";35
"Abricots (fruit frais)";30
"Ail";30
"Betterave (crue)";30
"Carottes (crues)";30
"Fromage blanc non égoutté";30
"Fruit de la passion, maracudja, grenadille pourpre";30
"Haricots verts";30
"Lait d'avoine (non cuite)";30
"Lait d’amande";30
"Lait de soja";30
"Lait écrémé";30
"Lait frais/poudre";30
"Lait non-écrémé";30
"Lentilles brunes";30
"Lentilles jaunes";30
"Mandarines, clémentines";30
"Marmelade (sans sucre ajoutés)";30
"Navet (cru)";30
"Pamplemousse (fruit frais)";30
"Pamplemousse, poires";30
"Poires (fruits frais)";30
"Pois chiches";30
"Salsifis";30
"Tomates";30
"Vermicelle de soja";30
"Airelle, myrtille";25
"Amandes entières sans sucre";25
"Baies de Goji";25
"Cacahuètes sans sucre";25
"Cerises";25
"Chocolat noir (>70% de cacao)";25
"Farine de soja";25
"Flageolets";25
"Fraises (fruit frais)";25
"Framboise (fruit frais)";25
"Graines de courges";25
"Groseille";25
"Groseille à maquereau";25
"Haricot mungo (soja)";25
"Hummus, homus, humus";25
"Lentilles vertes";25
"Mûres";25
"Noisettes entières sans sucre";25
"Orge mondé";25
"Pamplemousse";25
"Pois cassés";25
"Prune";25
"Purée d'amandes complètes (sans sucre)";25
"Purée de cacahuètes (sans sucre)";25
"Purée de noisettes entières (sans sucre)";25
"Artichaut";20
"Aubergine";20
"Cacao en poudre (sans sucre)";20
"Cerises des antilles, acérola";20
"Chocolat noir (>85% de cacao)";20
"Citron";20
"Coeur de palmier";20
"Farine d'amande";20
"Farine de noisettes";20
"Fructose";20
"Jus de citron (sans sucre)";20
"Marmelade sans sucre";20
"Pousse de bambou";20
"Ratatouille";20
"Sauce tamari (sans sucre ni édulcorants)";20
"Soja cuisine";20
"Yaourt nature au soja";20
"Agave (sirop)";15
"Amandes";15
"Asperge";15
"Blette, bette";15
"Brocoli";15
"Cacahuètes, arachides";15
"Céleri branches";15
"Céréales germées (germes de blé, de soja...)";15
"Champignon";15
"Chou-fleur";15
"Choucroute";15
"Choux";15
"Choux de Bruxelles";15
"Concombre";15
"Cornichon";15
"Courgettes";15
"Echalote";15
"Endives, chicorée";15
"Epinards";15
"Fenouil";15
"Germe de blé";15
"Gingembre";15
"Graines germes";15
"Groseille noire, cassis";15
"Haricot coco, haricot mange-tout, coco plat, cocos, pois mange tout";15
"Huile d'olive";15
"Lupin";15
"Noisettes";15
"Noix";15
"Noix de cajou";15
"Oignons";15
"Olives";15
"Oseille";15
"Pesto";15
"Physalis";15
"Pignon de pin";15
"Piment";15
"Pistache";15
"Poireaux";15
"Pois mange tout";15
"Poivrons";15
"Poudre de caroube";15
"Radis";15
"Rhubarbe";15
"Salade (laitue, laitue scarole, laitue frisée et plus)";15
"Soja (graines/noix)";15
"Son (de blé, d'avoine...)";15
"Tempeh";15
"Tofu (soja)";15
"Ail";10
"Aubergines";10
"Avocat";10
"Champignons";10
"Oignons";10
"Poivrons";10
"Tomate";10
"Agneau";5
"Crustacés (homard, crabe, langouste)";5
"Epices (poivre, persil, basilic, origan, carvi, cannelle, vanille, etc.)";5
"Vinaigre";5
